Training
Cycle	Mini-batch avg. cost
0	0.347375665254
0	0.33926247883
0	0.308039028046
1	0.34997101632
1	0.279333499553
1	0.36518243221
2	0.337980858706
2	0.306584179268
2	0.350072231858
3	0.322510663634
3	0.365961617914
3	0.306258374082
4	0.32139022112
4	0.345666531838
4	0.327895621613
5	0.34989439508
5	0.324592336235
5	0.320753740816
6	0.338408382408
6	0.335740020095
6	0.32095894713
7	0.348717170578
7	0.374050027151
7	0.272594975692
8	0.355297250836
8	0.342451471312
8	0.297740467659
9	0.327492484933
9	0.31422532139
9	0.353650337346
10	0.367926384774
10	0.31721090263
10	0.310760286582
11	0.344225833757
11	0.310289144202
11	0.341412784005
12	0.325210501048
12	0.329053052508
12	0.342022254592
13	0.352533505017
13	0.321294821838
13	0.322926760153
14	0.347788434957
14	0.298417819481
14	0.350523870008
15	0.322169443699
15	0.346204574464
15	0.32887715358
16	0.330479648506
16	0.345851075117
16	0.321305753601
17	0.355777534935
17	0.342420064753
17	0.299780441318
18	0.344543441189
18	0.346053785251
18	0.307784109197
19	0.330102866116
19	0.318024623687
19	0.350204415217
20	0.37425298967
20	0.303389759212
20	0.321245912257
21	0.345843097945
21	0.328668549062
21	0.325082217574
22	0.327136128269
22	0.325242088517
22	0.34733550604
23	0.328234411059
23	0.341498826003
23	0.330643748381
24	0.343332999476
24	0.316129667326
24	0.341237202551
25	0.348885383949
25	0.324732583959
25	0.327786015573
26	0.33070702006
26	0.339660773829
26	0.331487085912
27	0.363814791883
27	0.309993340898
27	0.328572171883
28	0.348554849956
28	0.326712611527
28	0.327764685852
29	0.330964412095
29	0.311088134722
29	0.361168640014
30	0.344771246963
30	0.335494683163
30	0.323605540643
31	0.340460404275
31	0.330115500711
31	0.33413457719
32	0.325955857578
32	0.344657559184
32	0.334628111509
33	0.339567685223
33	0.334715404201
33	0.33157635438
34	0.303311206458
34	0.355722487908
34	0.346604752825
35	0.327660956849
35	0.365638007866
35	0.313685028282
36	0.333507025328
36	0.326429319287
36	0.347676987099
37	0.350274184819
37	0.310342801751
37	0.347690599841
38	0.347920300455
38	0.331501852411
38	0.329814818982
39	0.320922761583
39	0.332420702813
39	0.356131180719
40	0.343932312528
40	0.349758848574
40	0.316817044267
41	0.317323154444
41	0.345730136722
41	0.348127746867
42	0.340192574142
42	0.357824042281
42	0.313747429213
43	0.354187541425
43	0.331562121771
43	0.326762176641
44	0.333053717249
44	0.332785503296
44	0.347760776726
45	0.337538581216
45	0.343620286649
45	0.333178766638
46	0.32961326194
46	0.352170794186
46	0.333120938664
47	0.358808228294
47	0.332849467866
47	0.324255889952
48	0.339690733555
48	0.343010985585
48	0.334134398001
49	0.344661667229
49	0.326720212669
49	0.346126891718
50	0.327039171612
50	0.337796833663
50	0.353247306393
51	0.331839348571
51	0.350385905095
51	0.337065996637
52	0.343317649811
52	0.322936514959
52	0.353597835314
53	0.332347758658
53	0.330594799715
53	0.35751839676
